TOOLS FOR THE TOUGH DAYS — Workplace Support App Pathways,,,,,,,,
Mood_Score_Range,Entry_Bucket,Problem_Area,Resource_Code,Resource_Name,Format,Main Category,Sub-Topic,File_Reference
1–2,I have a Crisis I need help with,I'm experiencing a crisis right now,CRISIS-P01,What to Do When You're in Crisis — Your First Steps,PDF,Crisis Support,,CRISIS-P01-What to Do When You're in Crisis.pdf
1–5,I have a Crisis I need help with,I'm experiencing a crisis right now,CRISIS-P02,Grounding Yourself When Everything Feels Overwhelming,PDF,Crisis Support,,CRISIS-P02-Grounding Yourself When Everything Feels Overwhelming.pdf
1–5,I have a Crisis I need help with,I'm experiencing a crisis right now,CRISIS-P03,Getting Through the Next Hour — Simple Steps for Hard Moments,PDF,Crisis Support,,CRISIS-P03-Getting Through the Next Hour.pdf
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,CRISIS-P04,Finding Safety — What to Do If You're in an Unsafe Situation,PDF,Crisis Support,,CRISIS-P04-Finding Safety.pdf
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,CRISIS-P05,Understanding Coercive Control and What It Looks Like,PDF,Crisis Support,,CRISIS-P05-Understanding Coercive Control.pdf
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,CRISIS-P06,Leaving Safely — Planning and Support Options,PDF,Crisis Support,,CRISIS-P06-Leaving Safely.pdf
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,DMV-P01,Finding Support Without Putting Yourself at Risk,PDF,Life Challenges,Domestic violence & abuse,DMV-P01-Finding Support Without Putting Yourself at Risk.pdf
1–5,I have a Crisis I need help with,I'm dealing with domestic violence or abuse,DMV-P02,Spotting the Signs of Domestic Abuse,PDF,Life Challenges,Domestic violence & abuse,DMV-P02-Spotting the Signs of Domestic Abuse.pdf
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P01,When Loss Hits and You Don't Know How to Keep Going,PDF,Life Challenges,Grief & loss,GRIEF-P01-When Loss Hits and You Don't Know How to Keep Going.pdf
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P02,The First Weeks After a Loss — What to Expect,PDF,Life Challenges,Grief & loss,GRIEF-P02-The First Weeks After a Loss.pdf
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P03,Grief That Doesn't Look Like Grief,PDF,Life Challenges,Grief & loss,GRIEF-P03-Grief That Doesn't Look Like Grief.pdf
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P04,Grieving Someone Who Is Still Alive,PDF,Life Challenges,Grief & loss,GRIEF-P04-Grieving Someone Who Is Still Alive.pdf
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P05,When Everyone Expects You to Be Over It By Now,PDF,Life Challenges,Grief & loss,GRIEF-P05-When Everyone Expects You to Be Over It.pdf
1–5,I have a Crisis I need help with,I'm going through grief or a devastating loss,GRIEF-P06,Supporting Yourself Through Grief When Life Keeps Moving,PDF,Life Challenges,Grief & loss,GRIEF-P06-Supporting Yourself Through Grief.pdf
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P01,Understanding Low Mood vs Depression — What's the Difference,PDF,My Mental Health,Low mood & depression,DEP-P01-Understanding Low Mood vs Depression.pdf
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P02,When Getting Through the Day Feels Like Enough,PDF,My Mental Health,Low mood & depression,DEP-P02-When Getting Through the Day Feels Like Enough.pdf
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P03,Simple Ways to Support Yourself When You're Feeling Low,PDF,My Mental Health,Low mood & depression,DEP-P03-Simple Ways to Support Yourself When Feeling Low.pdf
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P04,When the People Around You Don't Understand How You're Feeling,PDF,My Mental Health,Low mood & depression,DEP-P04-When People Around You Don't Understand.pdf
1–5,I am worried about my Mental Health,I've been feeling really low or depressed,DEP-P05,Knowing When to Ask for More Help,PDF,My Mental Health,Low mood & depression,DEP-P05-Knowing When to Ask for More Help.pdf
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,ANX-P01,Understanding What Anxiety Is Actually Doing to Your Body,PDF,My Mental Health,Anxiety & worry,ANX-P01-Understanding What Anxiety Does to Your Body.pdf
1–5,I am worried about my Mental Health,I'm struggling with anxiety or constant worry,ANX-P02,When Worry Won't Switch Off,PDF,My Mental Health,Anxiety & worry,ANX-P02-When Worry Won't Switch Off.pdf
